date,shop,total_sales
2023-06-05,Shop1,8523.99
2023-06-03,Shop1,9485.75
2023-06-02,Shop1,8643.08
2023-06-01,Shop1,4230.34
2023-05-31,Shop1,4664.84
2023-05-30,Shop1,7516.66
2023-05-27,Shop1,6481.6
2023-05-26,Shop1,7187.63
2023-05-25,Shop1,3806.22
2023-05-24,Shop1,6514.21
2023-05-23,Shop1,4405.28
2023-05-22,Shop1,3866.58
2023-05-20,Shop1,13277.62
2023-05-19,Shop1,4564.21
2023-05-18,Shop1,6329.49
2023-05-17,Shop1,9480.28
2023-05-16,Shop1,6072.55
2023-05-15,Shop1,9528.39
2023-05-13,Shop1,8335.46
2023-05-12,Shop1,5537.84
2023-05-11,Shop1,689.15
2023-05-10,Shop1,6899.9
2023-05-09,Shop1,4208.09
2023-05-08,Shop1,4975.85
2023-05-06,Shop1,12566.77
2023-05-05,Shop1,5451.7
2023-05-04,Shop1,6766.34
2023-05-03,Shop1,5087.17
2023-05-02,Shop1,4100.98
2023-05-01,Shop1,5151.94
2023-04-29,Shop1,4335.39
2023-04-28,Shop1,8555.93
2023-04-27,Shop1,7197.8
2023-04-26,Shop1,5753.6
2023-04-25,Shop1,288.72
2023-04-24,Shop1,3818.47
2023-04-22,Shop1,6072.63
2023-04-21,Shop1,4020.51
2023-04-20,Shop1,2135.19
2023-04-19,Shop1,10847.18
2023-04-18,Shop1,1258.77
2023-04-17,Shop1,3381.54
2023-04-15,Shop1,12484.49
2023-04-14,Shop1,8561.55
2023-04-13,Shop1,4691.47
2023-04-12,Shop1,5769.01
2023-04-11,Shop1,3060.69
2023-04-10,Shop1,3865.94
2023-04-08,Shop1,12699.99
2023-04-07,Shop1,7732.13
2023-04-06,Shop1,2372.74
2023-04-05,Shop1,5116.36
2023-04-04,Shop1,18385.26
2023-04-03,Shop1,7664.47
2023-04-01,Shop1,10547.84
2023-03-31,Shop1,5436.52
2023-03-30,Shop1,2430.24
2023-03-29,Shop1,7059.32
2023-03-28,Shop1,5576.32
2023-03-27,Shop1,7332.01
2023-03-25,Shop1,5195.92
2023-03-24,Shop1,8116.04
2023-03-23,Shop1,8721.9
2023-03-22,Shop1,4842.46
2023-03-21,Shop1,3601.83
2023-03-20,Shop1,5025.12
2023-03-18,Shop1,10851.62
2023-03-17,Shop1,7057.05
2023-03-16,Shop1,1312.09
2023-03-15,Shop1,5784.65
2023-03-14,Shop1,9281.52
2023-03-13,Shop1,3637.92
2023-03-11,Shop1,9059.84
2023-03-10,Shop1,5646.45
2023-03-09,Shop1,6719.43
2023-03-08,Shop1,6007.73
2023-03-07,Shop1,4610.51
2023-03-06,Shop1,3236.22
2023-03-04,Shop1,4740.05
2023-03-03,Shop1,5743.47
2023-03-02,Shop1,3151.6
2023-03-01,Shop1,2839.84
2023-02-28,Shop1,3305.93
2023-02-27,Shop1,6168.38
2023-02-25,Shop1,12305.98
2023-02-24,Shop1,5254.54
2023-02-23,Shop1,2516.46
2023-02-22,Shop1,6093.79
2023-02-21,Shop1,6683.79
2023-02-20,Shop1,1882.21
2023-02-18,Shop1,5329.77
2023-02-17,Shop1,9003.38
2023-02-16,Shop1,839.13
2023-02-15,Shop1,2637.86
2023-02-14,Shop1,2174.02
2023-02-13,Shop1,1473.1
2023-02-11,Shop1,6072.52
2023-02-10,Shop1,7502.81
2023-02-09,Shop1,3232.17
2023-02-08,Shop1,3036.55
2023-02-07,Shop1,6906.28
2023-02-06,Shop1,6956.22
2023-02-04,Shop1,11913.84
2023-02-03,Shop1,2934.21
2023-02-02,Shop1,1094.16
2023-02-01,Shop1,766.09
2023-01-31,Shop1,6383.15
2023-01-30,Shop1,5673.88
2023-01-28,Shop1,7816.88
2023-01-27,Shop1,6334.33
2023-01-26,Shop1,9698.43
2023-01-25,Shop1,4433.66
2023-01-24,Shop1,5840.0
2023-01-23,Shop1,3100.52
2023-01-21,Shop1,6361.48
2023-01-20,Shop1,6274.75
2023-01-19,Shop1,3597.54
2023-01-18,Shop1,7667.96
2023-01-17,Shop1,5324.73
2023-01-16,Shop1,2300.61
2023-01-14,Shop1,7811.82
2023-01-13,Shop1,11395.29
2023-01-12,Shop1,1141.33
2023-01-11,Shop1,3046.68
2023-01-10,Shop1,5838.95
2023-01-09,Shop1,2396.54
2023-01-07,Shop1,5465.35
2023-01-06,Shop1,7412.72
2023-01-05,Shop1,2020.79
2023-01-04,Shop1,584.58
2023-01-03,Shop1,2903.84
2022-12-31,Shop1,4041.63
2022-12-30,Shop1,6911.66
2022-12-29,Shop1,6904.7
2022-12-28,Shop1,9726.32
2022-12-27,Shop1,4185.64
2022-12-26,Shop1,6135.77
2022-12-23,Shop1,3607.84
2022-12-22,Shop1,7082.18
2022-12-21,Shop1,2993.35
2022-12-20,Shop1,14098.04
2022-12-19,Shop1,623.33
2022-12-17,Shop1,10311.79
2022-12-16,Shop1,3960.92
2022-12-15,Shop1,1872.54
2022-12-14,Shop1,6517.3
2022-12-13,Shop1,2342.0
2022-12-12,Shop1,2953.89
2022-12-10,Shop1,5421.41
2022-12-09,Shop1,9616.49
2022-12-08,Shop1,4329.77
2022-12-07,Shop1,2437.71
2022-12-06,Shop1,5134.21
2022-12-05,Shop1,5823.98
2022-12-03,Shop1,8622.45
2022-12-02,Shop1,5146.79
2022-12-01,Shop1,1943.29
2022-11-30,Shop1,3338.01
2022-11-29,Shop1,6212.78
2022-11-28,Shop1,2880.03
2022-11-26,Shop1,5074.85
2022-11-25,Shop1,7833.58
2022-11-23,Shop1,4769.53
2022-11-22,Shop1,4310.83
2022-11-21,Shop1,7358.27
2022-11-19,Shop1,10356.95
2022-11-18,Shop1,4919.6
2022-11-17,Shop1,4756.62
2022-11-16,Shop1,3338.59
2022-11-15,Shop1,4696.14
2022-11-14,Shop1,4544.52
2022-11-12,Shop1,5839.73
2022-11-11,Shop1,14347.14
2022-11-10,Shop1,6023.53
2022-11-09,Shop1,5240.97
2022-11-08,Shop1,6615.29
2022-11-07,Shop1,4724.45
2022-11-05,Shop1,13608.34
2022-11-04,Shop1,8141.74
2022-11-03,Shop1,5976.7
2022-11-02,Shop1,3637.94
2022-11-01,Shop1,3413.59
2022-10-31,Shop1,5286.84
2022-10-29,Shop1,12119.33
2022-10-28,Shop1,2552.93
2022-10-27,Shop1,1724.18
2022-10-26,Shop1,7620.64
2022-10-25,Shop1,5350.94
2022-10-24,Shop1,6331.24
2022-10-22,Shop1,6786.16
2022-10-21,Shop1,3171.27
2022-10-20,Shop1,3579.41
2022-10-19,Shop1,3348.99
2022-10-18,Shop1,6672.41
2022-10-17,Shop1,3894.66
2022-10-15,Shop1,7867.15
2022-10-14,Shop1,9681.28
2022-10-13,Shop1,2614.06
2022-10-12,Shop1,3926.76
2022-10-11,Shop1,8914.69
2022-10-10,Shop1,3714.19
2022-10-08,Shop1,11976.38
2022-10-07,Shop1,5286.37
2022-10-06,Shop1,4776.73
2022-10-05,Shop1,6845.99
2022-10-04,Shop1,9114.45
2022-10-03,Shop1,6055.09
2022-10-01,Shop1,11450.77
2022-09-30,Shop1,3497.25
2022-09-29,Shop1,3945.05
2022-09-28,Shop1,12344.43
2022-09-27,Shop1,3993.54
2022-09-26,Shop1,9986.94
2022-09-24,Shop1,8675.61
2022-09-23,Shop1,4314.41
2022-09-22,Shop1,1533.0
2022-09-21,Shop1,4076.54
2022-09-20,Shop1,9150.95
2022-09-19,Shop1,4600.51
2022-09-17,Shop1,8410.83
2022-09-16,Shop1,6836.16
2022-09-15,Shop1,7679.64
2022-09-14,Shop1,6445.25
2022-09-13,Shop1,4955.01
2022-09-12,Shop1,6070.19
2022-09-10,Shop1,9357.66
2022-09-09,Shop1,10263.97
2022-09-08,Shop1,4729.03
2022-09-07,Shop1,10041.11
2022-09-06,Shop1,4925.74
2022-09-03,Shop1,10255.43
2022-09-02,Shop1,7982.56
2022-09-01,Shop1,4992.55
2022-08-31,Shop1,7907.04
2022-08-30,Shop1,14566.89
2022-08-29,Shop1,6017.86
2022-08-27,Shop1,5021.47
2022-08-26,Shop1,7465.85
2022-08-25,Shop1,5175.28
2022-08-24,Shop1,5553.19
2022-08-23,Shop1,4353.81
2022-08-22,Shop1,6167.88
2022-08-20,Shop1,11397.97
2022-08-19,Shop1,1724.29
2022-08-18,Shop1,5952.83
2022-08-17,Shop1,6255.68
2022-08-16,Shop1,5558.67
2022-08-15,Shop1,4966.28
2022-08-13,Shop1,11567.61
2022-08-12,Shop1,12647.61
2022-08-11,Shop1,8659.67
2022-08-10,Shop1,9122.14
2022-08-09,Shop1,5325.04
2022-08-08,Shop1,5234.48
2022-08-06,Shop1,13540.38
2022-08-05,Shop1,8262.97
2022-08-04,Shop1,8637.84
2022-08-03,Shop1,1550.09
2022-08-02,Shop1,5549.76
2022-08-01,Shop1,7640.71
2022-07-30,Shop1,11461.53
2022-07-29,Shop1,10877.62
2022-07-28,Shop1,3252.13
2022-07-27,Shop1,7725.95
2022-07-26,Shop1,10663.39
2022-07-25,Shop1,4064.89
2022-07-23,Shop1,3301.93
2022-07-22,Shop1,4348.2
2022-07-21,Shop1,3856.64
2022-07-20,Shop1,11505.5
2022-07-19,Shop1,8534.29
2022-07-18,Shop1,8927.32
2022-07-16,Shop1,8492.3
2022-07-15,Shop1,10157.18
2022-07-14,Shop1,3860.02
2022-07-13,Shop1,4822.76
2022-07-12,Shop1,6953.02
2022-07-11,Shop1,4180.71
2022-07-09,Shop1,8950.9
2022-07-08,Shop1,4106.15
2022-07-07,Shop1,5321.74
2022-07-06,Shop1,9727.04
2022-07-05,Shop1,5558.79
2022-07-02,Shop1,9890.92
2022-07-01,Shop1,7824.16
2022-06-30,Shop1,4704.52
2022-06-29,Shop1,3784.34
2022-06-28,Shop1,7031.56
2022-06-27,Shop1,7218.66
2022-06-25,Shop1,9752.58
2022-06-24,Shop1,10503.95
2022-06-23,Shop1,5142.93
2022-06-22,Shop1,3005.28
2022-06-21,Shop1,4639.87
2022-06-20,Shop1,4487.83
2022-06-18,Shop1,6183.02
2022-06-17,Shop1,6247.96
2022-06-16,Shop1,3268.78
2022-06-15,Shop1,4039.87
2022-06-14,Shop1,12141.34
2022-06-13,Shop1,7117.0
2022-06-11,Shop1,5036.7
2022-06-10,Shop1,6242.95
2022-06-09,Shop1,5135.67
2022-06-08,Shop1,4702.11
2022-06-07,Shop1,9894.58
2022-06-06,Shop1,2725.82
2022-06-04,Shop1,12560.62
2022-06-03,Shop1,6630.07
2022-06-02,Shop1,6979.03
2022-06-01,Shop1,3586.92
2022-05-31,Shop1,5257.09
2022-05-28,Shop1,5869.23
2022-05-27,Shop1,6676.92
2022-05-26,Shop1,9377.89
2022-05-25,Shop1,8707.52
2022-05-24,Shop1,7130.08
2022-05-23,Shop1,4821.25
2022-05-21,Shop1,10467.53
2022-05-20,Shop1,7780.77
2022-05-19,Shop1,3675.36
2022-05-18,Shop1,6903.49
2022-05-17,Shop1,1369.67
2022-05-16,Shop1,4884.85
2022-05-14,Shop1,5898.53
2022-05-13,Shop1,8332.08
2022-05-12,Shop1,4300.33
2022-05-11,Shop1,3276.51
2022-05-10,Shop1,5049.01
2022-05-09,Shop1,7828.67
2022-05-07,Shop1,7453.83
2022-05-06,Shop1,5707.12
2022-05-05,Shop1,1914.74
2022-05-04,Shop1,3028.86
2022-05-03,Shop1,6035.87
2022-05-02,Shop1,2587.35
2022-04-30,Shop1,8392.76
2022-04-29,Shop1,5763.76
2022-04-28,Shop1,3025.99
2022-04-27,Shop1,4695.33
2022-04-26,Shop1,6903.28
2022-04-25,Shop1,8807.52
2022-04-23,Shop1,7712.96
2022-04-22,Shop1,5516.12
2022-04-21,Shop1,5405.73
2022-04-20,Shop1,4672.5
2022-04-19,Shop1,6039.29
2022-04-18,Shop1,5312.25
2022-04-16,Shop1,5682.92
2022-04-15,Shop1,7513.23
2022-04-14,Shop1,5810.39
2022-04-13,Shop1,3991.6
2022-04-12,Shop1,6794.24
2022-04-11,Shop1,6225.19
2022-04-09,Shop1,6594.64
2022-04-08,Shop1,6314.16
2022-04-07,Shop1,5668.73
2022-04-06,Shop1,5515.39
2022-04-05,Shop1,4364.1
2022-04-04,Shop1,3354.13
2022-04-02,Shop1,6168.84
2022-04-01,Shop1,12321.06
2022-03-31,Shop1,6289.43
2022-03-30,Shop1,6356.54
2022-03-29,Shop1,3587.11
2022-03-28,Shop1,3665.12
2022-03-26,Shop1,6455.24
2022-03-25,Shop1,8240.85
2022-03-24,Shop1,2354.43
2022-03-23,Shop1,3419.44
2022-03-22,Shop1,2325.55
2022-03-21,Shop1,4262.73
2022-03-19,Shop1,5162.91
2022-03-18,Shop1,5160.24
2022-03-17,Shop1,6084.4
2022-03-16,Shop1,8211.86
2022-03-15,Shop1,3265.12
2022-03-14,Shop1,7764.95
2022-03-12,Shop1,5692.17
2022-03-11,Shop1,5128.45
2022-03-10,Shop1,3145.24
2022-03-09,Shop1,1408.97
2022-03-08,Shop1,4605.87
2022-03-07,Shop1,4533.81
2022-03-05,Shop1,7580.31
2022-03-04,Shop1,4970.42
2022-03-03,Shop1,2580.33
2022-03-02,Shop1,9676.06
2022-03-01,Shop1,1792.65
2022-02-28,Shop1,5613.9
2022-02-26,Shop1,5122.84
2022-02-25,Shop1,4440.57
2022-02-24,Shop1,3842.9
2022-02-23,Shop1,4004.45
2022-02-22,Shop1,6249.97
2022-02-21,Shop1,8429.22
2022-02-19,Shop1,12588.75
2022-02-18,Shop1,4232.52
2022-02-17,Shop1,3425.62
2022-02-16,Shop1,3219.15
2022-02-15,Shop1,7239.89
2022-02-14,Shop1,5309.1
2022-02-12,Shop1,7807.06
2022-02-11,Shop1,3613.89
2022-02-10,Shop1,2301.76
2022-02-09,Shop1,6550.27
2022-02-08,Shop1,2447.58
2022-02-07,Shop1,4640.49
2022-02-05,Shop1,4212.09
2022-02-04,Shop1,3778.18
2022-02-03,Shop1,5790.02
2022-02-02,Shop1,3040.39
2022-02-01,Shop1,6765.79
2022-01-31,Shop1,3651.3
2022-01-28,Shop1,3079.13
2022-01-27,Shop1,3253.28
2022-01-26,Shop1,3893.27
2022-01-25,Shop1,2790.81
2022-01-24,Shop1,4081.0
2022-01-22,Shop1,10089.43
2022-01-21,Shop1,5720.6
2022-01-20,Shop1,4213.52
2022-01-19,Shop1,6301.8
2022-01-18,Shop1,6411.32
2022-01-17,Shop1,6011.4
2022-01-15,Shop1,7154.39
2022-01-14,Shop1,5519.77
2022-01-13,Shop1,523.85
2022-01-12,Shop1,3915.27
2022-01-11,Shop1,5485.32
2022-01-10,Shop1,3483.6
2022-01-08,Shop1,8459.84
2022-01-07,Shop1,3787.12
2022-01-06,Shop1,5228.46
2022-01-05,Shop1,11312.14
2022-01-04,Shop1,3193.57
2022-01-03,Shop1,8159.48
2021-12-31,Shop1,4399.81
2021-12-30,Shop1,4721.27
2021-12-29,Shop1,12085.43
2021-12-28,Shop1,5989.73
2021-12-27,Shop1,5474.71
2021-12-23,Shop1,4254.54
2021-12-22,Shop1,3221.85
2021-12-21,Shop1,2538.22
2021-12-20,Shop1,6000.96
2021-12-18,Shop1,1649.33
2021-12-17,Shop1,3164.84
2021-12-16,Shop1,3986.13
2021-12-15,Shop1,870.32
2021-12-14,Shop1,3174.32
2021-12-13,Shop1,2737.9
2021-12-11,Shop1,6511.89
2021-12-10,Shop1,6539.41
2021-12-09,Shop1,4399.5
2021-12-08,Shop1,3582.06
2021-12-07,Shop1,5535.38
2021-12-06,Shop1,4360.78
2021-12-04,Shop1,7992.86
2021-12-03,Shop1,8411.17
2021-12-02,Shop1,6548.18
2021-12-01,Shop1,4119.83
2021-11-30,Shop1,2351.62
2021-11-29,Shop1,1740.88
2021-11-27,Shop1,3018.85
2021-11-26,Shop1,4514.63
2021-11-24,Shop1,3089.53
2021-11-23,Shop1,10624.53
2021-11-22,Shop1,5826.44
2021-11-20,Shop1,3471.27
2021-11-19,Shop1,11917.21
2021-11-18,Shop1,6686.3
2021-11-17,Shop1,7502.71
2021-11-16,Shop1,9160.24
2021-11-15,Shop1,3266.34
2021-11-13,Shop1,8269.33
2021-11-12,Shop1,2978.8
2021-11-11,Shop1,841.72
2021-11-10,Shop1,4370.57
2021-11-09,Shop1,7481.11
2021-11-08,Shop1,6786.39
2021-11-06,Shop1,9719.4
2021-11-05,Shop1,7515.34
2021-11-04,Shop1,5774.82
2021-11-03,Shop1,4881.63
2021-11-02,Shop1,2466.74
2021-11-01,Shop1,5357.51
2021-10-30,Shop1,6479.63
2021-10-29,Shop1,6510.58
2021-10-28,Shop1,5747.21
2021-10-27,Shop1,9699.86
2021-10-26,Shop1,4766.64
2021-10-25,Shop1,2308.36
2021-10-23,Shop1,6271.47
2021-10-22,Shop1,5958.92
2021-10-21,Shop1,3019.05
2021-10-20,Shop1,4402.74
2021-10-19,Shop1,4065.94
2021-10-18,Shop1,1950.29
2021-10-16,Shop1,9291.69
2021-10-15,Shop1,12362.22
2021-10-14,Shop1,8384.83
2021-10-13,Shop1,2135.82
2021-10-12,Shop1,10460.06
2021-10-11,Shop1,6076.24
2021-10-09,Shop1,6302.54
2021-10-08,Shop1,5521.71
2021-10-07,Shop1,2052.56
2021-10-06,Shop1,5548.75
2021-10-05,Shop1,1461.11
2021-10-04,Shop1,3198.68
2021-10-02,Shop1,707.21
2021-10-01,Shop1,6967.98
2021-09-30,Shop1,3367.3
2021-09-29,Shop1,6887.15
2021-09-28,Shop1,797.49
2021-09-27,Shop1,5038.27
2021-09-25,Shop1,5956.99
2021-09-24,Shop1,5777.32
2021-09-23,Shop1,4098.0
2021-09-22,Shop1,5349.46
2021-09-21,Shop1,6563.8
2021-09-20,Shop1,7237.56
2021-09-18,Shop1,4800.95
2021-09-17,Shop1,6383.97
2021-09-16,Shop1,4247.55
2021-09-15,Shop1,3155.04
2021-09-14,Shop1,3106.72
2021-09-13,Shop1,5830.04
2021-09-11,Shop1,9512.41
2021-09-10,Shop1,9537.07
2021-09-09,Shop1,3707.66
2021-09-08,Shop1,6061.51
2021-09-07,Shop1,7020.71
2021-09-04,Shop1,7358.01
2021-09-03,Shop1,6509.31
2021-09-02,Shop1,1424.22
2021-09-01,Shop1,4701.04
2021-08-31,Shop1,6078.07
2021-08-30,Shop1,3020.06
2021-08-28,Shop1,4866.22
2021-08-27,Shop1,2605.66
2021-08-26,Shop1,5766.12
2021-08-25,Shop1,10077.6
2021-08-24,Shop1,4586.25
2021-08-23,Shop1,5609.3
2021-08-21,Shop1,6463.13
2021-08-20,Shop1,2601.25
2021-08-19,Shop1,2588.06
2021-08-18,Shop1,3031.07
2021-08-17,Shop1,5504.8
2021-08-16,Shop1,9988.14
2021-08-14,Shop1,6370.02
2021-08-13,Shop1,3615.4
2021-08-12,Shop1,5797.96
2021-08-11,Shop1,3322.2
2021-08-10,Shop1,6208.5
2021-08-09,Shop1,5429.66
2021-08-07,Shop1,2490.22
2021-08-06,Shop1,2938.18
2021-08-05,Shop1,10224.41
2021-08-04,Shop1,7981.1
2021-08-03,Shop1,4304.75
2021-08-02,Shop1,818.03
2021-07-31,Shop1,12555.85
2021-07-30,Shop1,9635.26
2021-07-29,Shop1,5846.33
2021-07-28,Shop1,2432.86
2021-07-27,Shop1,5472.56
2021-07-26,Shop1,10492.7
2021-07-24,Shop1,7713.78
2021-07-23,Shop1,5054.01
2021-07-22,Shop1,6861.11
2021-07-21,Shop1,7125.55
2021-07-20,Shop1,8296.35
2021-07-19,Shop1,10146.89
2021-07-17,Shop1,7146.25
2021-07-16,Shop1,10961.61
2021-07-15,Shop1,4361.9
2021-07-14,Shop1,4440.65
2021-07-13,Shop1,7990.43
2021-07-12,Shop1,5103.58
2021-07-10,Shop1,5677.61
2021-07-09,Shop1,4795.24
2021-07-08,Shop1,8811.68
2021-07-07,Shop1,5724.03
2021-07-06,Shop1,7686.02
2021-07-03,Shop1,8050.0
2021-07-02,Shop1,12019.93
2021-07-01,Shop1,3147.23
2021-06-30,Shop1,7040.09
2021-06-29,Shop1,4486.78
2021-06-28,Shop1,2251.79
2021-06-26,Shop1,6626.99
2021-06-25,Shop1,7536.89
2021-06-24,Shop1,1321.65
2021-06-23,Shop1,2973.72
2021-06-22,Shop1,8641.15
2021-06-21,Shop1,3429.01
2021-06-19,Shop1,4939.29
2021-06-18,Shop1,3463.32
2021-06-17,Shop1,3765.36
2021-06-16,Shop1,6065.14
2021-06-15,Shop1,5520.23
2021-06-14,Shop1,2826.04
2021-06-12,Shop1,6551.55
2021-06-11,Shop1,7066.46
2021-06-10,Shop1,6541.55
2021-06-09,Shop1,5578.05
2021-06-08,Shop1,6087.22
2021-06-07,Shop1,4187.42
2021-06-05,Shop1,3285.69
2021-06-04,Shop1,3975.28
2021-06-03,Shop1,1597.34
2021-06-02,Shop1,4673.4
2021-06-01,Shop1,4828.45
2021-05-29,Shop1,4906.17
2021-05-28,Shop1,8756.34
2021-05-27,Shop1,1619.01
2021-05-26,Shop1,4552.56
2021-05-25,Shop1,4651.2
2021-05-24,Shop1,2716.9
2021-05-22,Shop1,2994.84
2021-05-21,Shop1,3259.3
2021-05-20,Shop1,7261.92
2021-05-19,Shop1,1190.85
2021-05-18,Shop1,4695.87
2021-05-17,Shop1,2193.81
2021-05-15,Shop1,5885.16
2021-05-14,Shop1,7357.61
2021-05-13,Shop1,2972.44
2021-05-12,Shop1,4715.92
2021-05-11,Shop1,3123.87
2021-05-10,Shop1,4221.58
2021-05-08,Shop1,3952.44
2021-05-07,Shop1,3744.82
2021-05-06,Shop1,3459.04
2021-05-05,Shop1,3281.22
2021-05-04,Shop1,6636.12
2021-05-03,Shop1,3910.48
2021-05-01,Shop1,3481.88
2021-04-30,Shop1,1370.81
2021-04-29,Shop1,1175.21
2021-04-28,Shop1,1242.5
2021-04-27,Shop1,7377.91
2021-04-26,Shop1,1179.92
2021-04-24,Shop1,2750.3
2021-04-23,Shop1,5346.16
2021-04-22,Shop1,821.11
2021-04-21,Shop1,2573.13
2021-04-20,Shop1,1876.08
2021-04-19,Shop1,5072.65
2021-04-17,Shop1,5431.61
2021-04-16,Shop1,2700.55
2021-04-15,Shop1,6870.96
2021-04-14,Shop1,3488.53
2021-04-13,Shop1,4485.52
2021-04-12,Shop1,6427.32
2021-04-10,Shop1,3579.81
2021-04-09,Shop1,6696.55
2021-04-08,Shop1,2407.08
2021-04-07,Shop1,1579.19
2021-04-06,Shop1,3448.26
2021-04-05,Shop1,5401.54
2021-04-03,Shop1,6590.81
2021-04-02,Shop1,5898.22
2021-04-01,Shop1,833.11
2021-03-31,Shop1,5643.23
2021-03-30,Shop1,3727.27
2021-03-29,Shop1,4729.27
2021-03-27,Shop1,6107.51
2021-03-26,Shop1,4824.61
2021-03-25,Shop1,599.4
2021-03-24,Shop1,4397.17
2021-03-23,Shop1,644.92
2021-03-22,Shop1,4838.87
2021-03-20,Shop1,3148.65
2021-03-19,Shop1,1714.39
2021-03-18,Shop1,634.58
2021-03-17,Shop1,2920.97
2021-03-16,Shop1,2645.3
2021-03-15,Shop1,1476.01
2021-03-13,Shop1,8059.65
2021-03-12,Shop1,1468.13
2021-03-11,Shop1,1764.76
2021-03-10,Shop1,1158.59
2021-03-09,Shop1,3322.85
2021-03-08,Shop1,2977.12
2021-03-06,Shop1,1099.44
2021-03-05,Shop1,4123.91
2021-03-04,Shop1,2600.89
2021-03-03,Shop1,2277.95
2021-03-02,Shop1,4144.3
2021-03-01,Shop1,3442.37
2021-02-27,Shop1,2737.2
2021-02-26,Shop1,4197.29
2021-02-25,Shop1,1811.92
2021-02-24,Shop1,3930.33
2021-02-23,Shop1,2545.26
2021-02-22,Shop1,2333.0
2021-02-20,Shop1,2953.8
2021-02-19,Shop1,2449.01
2021-02-18,Shop1,1274.66
2021-02-17,Shop1,3555.46
2021-02-16,Shop1,2472.72
2021-02-15,Shop1,6282.58
2021-02-13,Shop1,5550.53
2021-02-12,Shop1,6082.01
2021-02-11,Shop1,1592.18
2021-02-10,Shop1,4374.04
2021-02-09,Shop1,4024.69
2021-02-08,Shop1,6210.18
2021-02-06,Shop1,1757.99
2021-02-05,Shop1,1697.49
2021-02-04,Shop1,2263.06
2021-02-03,Shop1,2543.95
2021-02-02,Shop1,1045.33
2021-01-30,Shop1,3862.19
2021-01-29,Shop1,326.64
2021-01-28,Shop1,1230.96
2021-01-27,Shop1,4184.7
2021-01-26,Shop1,4118.18
2021-01-25,Shop1,2639.45
2021-01-23,Shop1,5699.4
2021-01-22,Shop1,5841.39
2021-01-21,Shop1,1446.12
2021-01-20,Shop1,2947.61
2021-01-19,Shop1,3766.01
2021-01-18,Shop1,7483.8
2021-01-16,Shop1,3492.0
2021-01-15,Shop1,4593.66
2021-01-14,Shop1,2410.42
2021-01-13,Shop1,2290.53
2021-01-12,Shop1,3933.34
2021-01-11,Shop1,3011.39
2021-01-09,Shop1,5736.57
2021-01-08,Shop1,6506.73
2021-01-07,Shop1,4081.06
2021-01-06,Shop1,4708.25
2021-01-05,Shop1,3497.21
2021-01-04,Shop1,3630.16
2021-01-02,Shop1,3059.07
2020-12-31,Shop1,945.38
2020-12-30,Shop1,5949.65
2020-12-29,Shop1,7826.56
2020-12-28,Shop1,5854.49
2020-12-26,Shop1,1809.16
